name,stars,sell_price,mark_price,delivery_date
"TRI-COM ® Pure Copper RJ45 Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit (Heavy Duty LD Coated PVC Outer Jacket for Outdoor, Router, 300 Meter)  ",3.9,8599,12999,"Sunday, 26 March"
"Dell WM118 Wireless Mouse, 2.4 Ghz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, Pc/Mac/Laptop - Black.  ",4.4,569,1299,"Tomorrow, 23 March"
"Lenovo 300 Wireless Compact Mouse, 1000 DPI Optical sensor, 2.4GHz Wireless Nano USB, 10m range, 3-button(left,right,scroll) upto 3M left/right clicks & 1yr battery, Ambidextrous, Ergonomic GX30K79401  ",4.4,599,1290,"Today, 22 March"
"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas, Wood, Leather, Earthenware, Metal, Diwali Gifts for Diwali  ",4.4,0,0,Data not available
"Redgear Pro Wireless Gamepad with 2.4GHz Wireless Technology, Integrated Dual Intensity Motor, Illuminated Keys for PC(Compatible with Windows 7/8/8.1/10 only)  ",4.2,1599,3999,"Today, 22 March"
Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet)  ,3.6,0,0,"Saturday, 25 March"
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368 * 448 Pixel Resolution, Rotating Crown & 60Hz Refresh Rate 100+ Sports Mode, TWS Connection, Voice Assistance  ",4.3,0,0,"Today, 22 March"
HP Wireless Mouse 250/2.4 GHz Wireless USB connectivity/12 Months Battery Life/LED Optical Sensor/ 1600 DPI/3 Years Warranty/Black  ,4.3,599,999,"Today, 22 March"
"STRIFF Laptop Tabletop Stand, Fold-Up, Adjustable, Ventilated, Portable Holder For Desk, Aluminum Foldable Laptop Ergonomic Compatibility With Up To 15.6-Inch Laptop, All Mac, Tab, And Mobile (Silver)  ",4.1,0,0,"Today, 22 March"
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black  ",4.2,0,0,"Today, 22 March"
"Fire-Boltt Tank 1.85"" Outdoor Rugged Bluetooth Calling Smart Watch, 123 Sports Mode, 8 UI Interactions, Built in Speaker & Mic, 7 Days Battery, Rs 100 Off on UPI  ",4.1,0,0,"Today, 22 March"
Redgear Cloak Wired RGB Wired Over Ear Gaming Headphones with Mic for PC  ,4.0,499,1799,"Today, 22 March"
"boAt Wave Lite Smartwatch with 1.69"" HD Display, Sleek Metal Body, HR & SpO2 Level Monitor, 140+ Watch Faces, Activity Tracker, Multiple Sports Modes, IP68 & 7 Days Battery Life(Active Black)  ",3.9,1299,6990,"Today, 22 March"
Ndola Hospital Multipara Monitor Stand with Basket  ,not available,3999,9999,"Friday, 24 March"
Kathiriyas TRi-COM® Pure Copper 650MHz 100W PoE++ RJ45 UTP Molded Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper (CAT-5E 4 Pair 305M)  ,not available,5999,15999,"Sunday, 26 March"
"Ndola Hospital Multipara Monitor Stand with Basket, Pack - 1  ",not available,3999,9999,"Friday, 24 March"
"Stewit Plug in LED Night Light Mini USB LED Light Flexible USB LED Ambient Light Mini USB LED Light, LED Portable car Bulb, Indoor, Outdoor, Reading, Sleep (4 pcs)  ",4.2,79,0,"Tomorrow, 23 March"
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)  ",4.1,1799,7990,"Today, 22 March"
"Mi Type C 3Amp 100cm Fast Charge Cable Black|USB to Type C|Supports Upto 22.5W Fast Charging|Suitable for All Smartphones,Tablet and Accessories  ",4.3,229,299,"Today, 22 March"
boAt Bassheads 105 Wired in Ear Earphones with Mic (Black)  ,4.0,449,999,"Today, 22 March"
"Zebronics ZEB-90HB USB Hub, 4 Ports, Pocket Sized, Plug & Play, for Laptop & Computers  ",3.4,179,499,"Today, 22 March"
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue)  ,3.9,0,0,"Tomorrow, 23 March"
"TP-Link AC750 Wifi Range Extender | Up to 750Mbps | Dual Band WiFi Extender, Repeater, Wifi Signal Booster, Access Point| Easy Set-Up | Extends Wifi to Smart Home & Alexa Devices (RE200)  ",4.2,0,0,"Today, 22 March"
Duracell Chhota Power AA Battery Set of 10 Pcs  ,4.4,0,0,"Today, 22 March"
"Gizga Essentials Professional 3-in-1 Cleaning Kit for Camera, Lens, Binocular, Laptop, TV, Monitor, Smartphone, Tablet (Includes: Cleaning Liquid 100ml, Plush Microfiber Cloth, Dust Removal Brush)  ",4.2,0,0,"Today, 22 March"
"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)  ",4.0,199,0,Data not available
"tizum HDMI to VGA Adapter/ Connector/ Converter Cable 1080P (Male to Female) for Media Players, Xbox, Projector, Computer, Laptop, TV & More | Full HD Resolution | Compact Design | Black  ",3.7,0,0,"Tomorrow, 23 March"
"Seagate Expansion 1TB External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKM1000400)  ",4.4,4349,4999,"Today, 22 March"
Kitwe Patient Multipara Monitor Wall Stand with Basket  ,not available,3999,5999,"Friday, 24 March"
Kitwe Patient Multipara Wall Mounting Monitor Stand (Pack of 1)  ,not available,6999,11999,"Friday, 24 March"
Kitwe Patient Monitor Stand Wall Mount (Pack of 1 Piece)  ,not available,5399,8999,"Friday, 24 March"
SHINING SUN VISION Smart LED Vision Chart 19 inch  ,3.5,19499,30000,"Wednesday, 29 March"
"TRI-COM ® Pure Copper RJ45 Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit (Heavy Duty LD Coated PVC Outer Jacket for Outdoor, Router, 300 Meter)  ",3.9,8599,12999,"Sunday, 26 March"
"ZORBES® Desktop Monitor Stand with USB A/C Ports, Phone Stand and Mini Drawer, Support Data Transfer, Charging, Multifunction Stand Riser for Desktop, Laptop, Monitor Black  ",not available,3999,5999,"Saturday, 25 March"
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3  ",4.2,0,0,"Today, 22 March"
"Noise Newly Launched Twist Bluetooth Calling Smart Watch with 1.38"" TFT Biggest Display, Up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)  ",4.1,1899,4999,"Tomorrow, 23 March"
boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black)  ,4.2,449,1290,"Today, 22 March"
Zebronics Zeb-Companion 107 USB Wireless Keyboard and Mouse Set with Nano Receiver (Black)  ,3.5,699,999,"Tomorrow, 23 March"
"Fire-Boltt Ring 3 Smart Watch 1.8 Biggest Display with Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring  ",4.2,0,0,"Today, 22 March"
Eveready 1015 Carbon Zinc AA Battery - 10 Pieces  ,4.4,149,180,"Today, 22 March"
"Classmate Long Notebook - 140 Pages, Single Line, 297Mm X 210Mm (Pack Of 12)  ",4.4,528,720,"Today, 22 March"
"Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages  ",4.5,140,175,"Today, 22 March"
"DIGITEK® (DTR 260 GT) Gorilla Tripod/Mini 33 CM (13 Inch) Tripod for Mobile Phone with Phone Mount & Remote, Flexible Gorilla Stand for DSLR & Action Cameras  ",3.9,0,0,"Today, 22 March"
"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)  ",4.4,284,590,"Today, 22 March"
