celeb_id,celeb_name,profession,famous_for,img_link,profile_link
nm0002546,Mena Suvari,Actress,American Beauty,"https://m.media-amazon.com/images/M/MV5BMjIzZWRhZTYtOThiOS00YmE1LWJkOGYtZTk5NGQxNTZmNDU0XkEyXkFqcGdeQXVyMjUxOTcxNTI@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0002546
nm1475594,Channing Tatum,Actor,21 Jump Street,"https://m.media-amazon.com/images/M/MV5BMTUyOTc2NTEwNV5BMl5BanBnXkFtZTgwNDgxMjMxNjE@._V1_UY209_CR39,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1475594
nm5589690,Madison Iseman,Actress,Jumanji: Welcome to the Jungle,"https://m.media-amazon.com/images/M/MV5BZTgzN2FhZjgtOWZhOS00ZDdlLThmNDYtMTNlNTc5YzI0YWNhXkEyXkFqcGdeQXVyNDIxNzMxNTc@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5589690
nm0449299,Tig Notaro,Actress,One Mississippi,"https://m.media-amazon.com/images/M/MV5BMTc1ODIxNjMxM15BMl5BanBnXkFtZTgwODExMTk3NzE@._V1_UY209_CR20,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0449299
nm0000098,Jennifer Aniston,Actress,Friends,"https://m.media-amazon.com/images/M/MV5BNjk1MjIxNjUxNF5BMl5BanBnXkFtZTcwODk2NzM4Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000098
nm1662644,Antje Traue,Actress,Man of Steel,"https://m.media-amazon.com/images/M/MV5BMjMwNzQ3MzUxOV5BMl5BanBnXkFtZTcwNjgzMjA5OQ@@._V1_UY209_CR12,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1662644
nm0177639,Jennifer Coolidge,Actress,A Mighty Wind,"https://m.media-amazon.com/images/M/MV5BMTI3NjYyMzgxNl5BMl5BanBnXkFtZTcwMjgyMzM0Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0177639
nm4535518,Mindy Robinson,Actress,Range 15,"https://m.media-amazon.com/images/M/MV5BNjAyOTQ0MWQtMDU5Yi00YTczLTgyYzEtNDhlM2I4YzFhNmI3XkEyXkFqcGdeQXVyMjcxMTY1NTM@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm4535518
nm0000115,Nicolas Cage,Actor,Face/Off,"https://m.media-amazon.com/images/M/MV5BMjUxMjE4MTQxMF5BMl5BanBnXkFtZTcwNzc2MDM1NA@@._V1_UY209_CR6,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000115
nm9481314,Wesley Kimmel,Actor,The Book of Boba Fett,"https://m.media-amazon.com/images/M/MV5BMjg3NDkyNzUtNDM2MS00MzlhLWJkNWEtNjIxZGFhNmFkNjY5XkEyXkFqcGdeQXVyODM3Nzc4NjA@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm9481314
nm2143282,Lupita Nyong'o,Actress,12 Years a Slave,"https://m.media-amazon.com/images/M/MV5BMTY0NTQ4MDY2Nl5BMl5BanBnXkFtZTgwNDk1MTEyMDE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2143282
nm0898597,Cerina Vincent,Actress,Cabin Fever,"https://m.media-amazon.com/images/M/MV5BMGMzNmM3M2EtNWVjYS00YTA1LWJlZGEtM2NhZWJlZWRiNDA5XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0898597
nm0004874,Vin Diesel,Actor,Guardians of the Galaxy,"https://m.media-amazon.com/images/M/MV5BMjExNzA4MDYxN15BMl5BanBnXkFtZTcwOTI1MDAxOQ@@._V1_UY209_CR5,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0004874
nm0124930,Gerard Butler,Actor,300,"https://m.media-amazon.com/images/M/MV5BMjE4NDMwMzc4Ml5BMl5BanBnXkFtZTcwMDg4Nzg4Mg@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0124930
